Ventilation,Sokets_Plug,Lighting,Other_Electricity,Cooling,Heating
0.082288093,0.188905328,0.077521866,0.161706613,0.394539909,0.095038191
0.283329831,0.073775072,0.05037934,0.001911245,0.572130227,0.018474285
0.244541967,0.0736012,0.055405007,0.000757148,0.607709747,0.017984931
0.246998043,0.072875244,0.05293312,0.000899146,0.608154776,0.018139671
0.261519271,0.068580583,0.043577993,0.003580911,0.604480444,0.018260799
0.262670147,0.065703953,0.040544052,0.003903807,0.609158402,0.018019639
0.249590736,0.068211203,0.039875356,0.003146924,0.619725682,0.019450099
0.257812147,0.069161486,0.042473592,0.002681119,0.60859858,0.019273075
0.258537661,0.069188211,0.042436035,0.002419595,0.608123969,0.019294528
0.262523173,0.070006688,0.043261305,0.002783187,0.602030642,0.019395005
0.26297664,0.070278758,0.043620875,0.003099329,0.600624631,0.019399767
0.262015642,0.071425627,0.04595168,0.00265442,0.598800331,0.0191523
0.26302347,0.067833704,0.04228948,0.003628389,0.604822931,0.018402025
0.256461048,0.069376768,0.043329286,0.00324213,0.608644666,0.018946103
0.257338845,0.069355735,0.043378947,0.002915417,0.607999579,0.019011477
0.258006243,0.069343088,0.043114728,0.002411578,0.608077493,0.01904687
0.263645045,0.070392481,0.043983304,0.003270594,0.599328233,0.019380343
0.265230409,0.070631661,0.044996854,0.003157035,0.596997851,0.01898619
0.274796717,0.067699056,0.043310607,0.003407352,0.593183024,0.017603244
0.247077095,0.068962941,0.041946202,0.003037081,0.620088526,0.018888156
0.257544333,0.069557658,0.043449836,0.002332945,0.608190553,0.018924675
0.258535803,0.069601408,0.042825185,0.002070655,0.607821724,0.019145225
0.263850624,0.07045257,0.04415566,0.00331717,0.598992366,0.019231611
0.265004512,0.070726903,0.04511498,0.002957765,0.596971261,0.019224578
0.257005904,0.069632926,0.043919161,0.002384448,0.608337544,0.018720017
0.258461817,0.069669666,0.043380254,0.002262993,0.607090773,0.019134496
0.262371059,0.070293004,0.04396396,0.002970915,0.601238837,0.019162224
0.265424792,0.070709438,0.044860686,0.003301029,0.596464263,0.019239792
0.265911239,0.070784779,0.045138,0.003252211,0.595655093,0.019258677
0.27099502,0.071164601,0.045796512,0.002384247,0.590996151,0.018663469
0.257211829,0.069745181,0.044161025,0.002233879,0.60796977,0.018678317
0.260585714,0.07005647,0.04424318,0.003079483,0.602809601,0.019225552
0.263927264,0.070482976,0.044265168,0.003205998,0.598970512,0.019148082
0.266486416,0.071119017,0.045169486,0.002758039,0.595077033,0.019390008
0.278292687,0.071268312,0.045795051,0.001193315,0.5854808,0.017969834
0.258769522,0.069817857,0.044684078,0.002615776,0.605095679,0.019017088
0.258824905,0.069809102,0.044556866,0.002728082,0.604933415,0.019147629
