"Total_Value","Year","Month","Day","Hour","Ventilation","Sokets_Plug","Lighting","Other_Electricity","Cooling","Heating","Y.Ventilation","Y.Sokets_Plug","Y.Lighting","Y.Other_Electricity","Y.Cooling","Y.Heating"
128.751,2021,6,6,23,5.875,16.125,6.563,74.688,19.25,6.25,0.0464712410000699,0.125529418757481,0.0517777801510064,0.577225425002093,0.149632521732302,0.0493636133570484
242.501,2021,6,7,9,77.125,14.563,16.25,93.688,25.875,15,0.316988722421458,0.0607937307856844,0.0677020929046952,0.384815160937862,0.107117022006935,0.0625832709433653
278.001,2021,6,7,10,132.125,20.313,24.938,48.375,36.25,16,0.473125009242573,0.073718072656813,0.0902391713019418,0.173959168911862,0.130647099490849,0.058311478395961
382.751,2021,6,7,12,76.875,27.813,43.063,127.125,35.125,72.75,0.200611218980292,0.0733188234890549,0.112885270662863,0.330985905569398,0.0922899619634736,0.189908819334918
327.751,2021,6,7,13,116,27.125,40.813,98.063,39.5,6.25,0.35262679863564,0.0833436766924575,0.124817064857389,0.298279329062702,0.120838794937711,0.020094335814101
268,2021,6,7,18,52.875,27.75,36.5,121.375,23.5,6,0.19708208091487,0.103983122581537,0.13640564538419,0.450904116569928,0.0882350400773908,0.023389994472084
257.001,2021,6,7,19,102.125,27.063,33.625,66.188,21.5,6.5,0.395769874328202,0.105729228139622,0.131084890396017,0.256908790130086,0.0842337162328378,0.0262735007732352
255.501,2021,6,8,16,136.625,30.375,32.063,30.063,19.875,6.5,0.532177698043365,0.119215898372218,0.125776646775464,0.118003248193419,0.0784055558164808,0.0264209527990541
248.501,2021,6,8,17,36.5,31.063,30.625,125.563,18.75,6,0.147018099226667,0.125290850420603,0.123540522118772,0.502930175815672,0.0760858449857941,0.0251345074324911
254.001,2021,6,8,20,48.25,19.188,24.75,139.063,16.75,6,0.189798123607562,0.0761758128467561,0.0979212981007511,0.544845364235224,0.0666440809069431,0.0246153203027635
142.251,2021,6,9,6,8.125,12.438,4.625,86.313,24.5,6.25,0.0578781080625092,0.0879872012225651,0.0334445754726192,0.603709264102029,0.172192135536638,0.0447887156036396
10.688,2021,6,9,11,2.125,6.25,2.313,0,0,0,0.198597813054447,0.581864482839876,0.216065481883455,0.00115740740740741,0.00115740740740741,0.00115740740740741
313.501,2021,6,9,15,195.875,24.813,35.563,0,46.75,10.5,0.621617172908776,0.0797558409052272,0.113807876535806,0.00115740740740741,0.149244167010159,0.0344175352326243
4.313,2021,6,10,8,0.875,2.438,1,0,0,0,0.202623582021623,0.562499731646787,0.231404464109368,0.00115740740740741,0.00115740740740741,0.00115740740740741
19.001,2021,6,10,14,1.875,11.563,5.563,0,0,0,0.0991511533506034,0.605478305722701,0.291898318704474,0.00115740740740741,0.00115740740740741,0.00115740740740741
281.001,2021,6,10,16,73.125,30.563,33.375,109.938,27.5,6.5,0.259580642556037,0.109166834222417,0.119104422423961,0.389677525366656,0.0983422137880885,0.0241283616428411
336.001,2021,6,10,21,33.625,21.375,14.063,0,260.688,6.25,0.100536555253859,0.0643315125439993,0.0427207964383263,0.00115740740740741,0.771624360382746,0.0196293679736623
201.938,2021,6,11,0,49,17.125,5.75,0,124.063,6,0.242121080525999,0.0853717523493643,0.0294337568039769,0.00115740740740741,0.611252839613772,0.0306631632994799
4.875,2021,6,11,5,1.5,3.25,0.125,0,0,0,0.306712962962963,0.663194444444444,0.0266203703703704,0.00115740740740741,0.00115740740740741,0.00115740740740741
254.563,2021,6,11,9,99.75,16.563,18.25,0,111.5,8.5,0.390284231284666,0.0657700147645908,0.0723510368385851,0.00115740740740741,0.436121225575973,0.0343160841287778
334.188,2021,6,11,12,81.625,30.375,33.688,0,181.75,6.75,0.2437099817734,0.0914181663215515,0.101262903581883,0.00115740740740741,0.541236187082986,0.0212153538327728
509.001,2021,6,11,16,107.625,32.313,25.688,0,336.875,6.5,0.211132641575251,0.0641997278874589,0.0512744231128994,0.00115740740740741,0.658396961510008,0.0138388385069752
470.563,2021,6,11,18,58.25,29.375,25.5,0,351.688,5.75,0.124085657420925,0.0631491214700184,0.0549714911043123,0.00115740740740741,0.743344366905333,0.0132919556920036
375.563,2021,6,11,21,59,21.063,16.5,0,273.5,5.5,0.157163930355029,0.0568517360997085,0.0447863502656407,0.00115740740740741,0.724340187512062,0.0157003883601518
82.501,2021,6,12,5,6.625,14.25,7.438,2.688,45.5,6,0.0809018111789442,0.172683106085807,0.0906878036719645,0.0335125707791645,0.548835954064754,0.0733787542193652
76.75,2021,6,12,11,6.125,18.5,6.25,0,40.125,5.75,0.0804077693328508,0.240525847508747,0.0820251236578598,0.00115740740740741,0.520328145735312,0.0755557063578236
61.001,2021,6,12,17,6.5,16,5.438,0,27.063,6,0.106973067988564,0.261626725761023,0.0896844169828424,0.00115740740740741,0.441724980070151,0.0988334017900132
69.438,2021,6,12,20,8.125,14.5,7.563,0,33.5,5.75,0.117355690608088,0.208526651273238,0.109318344742392,0.00115740740740741,0.480251867373292,0.0833900385955817
57.625,2021,6,12,21,6.25,14,4.25,0,27.125,6,0.108864083714951,0.242420362336306,0.0743979472965373,0.00115740740740741,0.468604382582148,0.10455581666265
64.251,2021,6,13,0,5.125,13.438,4.875,6.188,28.875,5.75,0.0803687772261218,0.208853483041336,0.0765048079666724,0.0967983745173011,0.447445856873823,0.0900287003747456
61.751,2021,6,13,2,5.5,12.688,6.5,6.063,25.75,5.25,0.0896062674348654,0.205200886685296,0.105687878348949,0.0986602143794942,0.415258888445051,0.0855858647063445
62.75,2021,6,13,9,6.5,14.125,5.875,9.5,20.5,6.25,0.104023719935075,0.224693817323299,0.0941327283458758,0.151500479563229,0.325581931533127,0.100067323299395
62.876,2021,6,13,18,6.625,19.5,7.313,0,23.938,5.5,0.105791815696032,0.309137929917321,0.1166580002851,0.00115740740740741,0.379231138065988,0.0880237086281523
74.563,2021,6,13,19,5.625,19.375,5.125,0,38.938,5.5,0.0760730827423591,0.259200289116685,0.0694139116014744,0.00115740740740741,0.519747019174936,0.0744082899571379
60.251,2021,6,14,4,5.75,10.063,5.563,17.75,16.375,4.75,0.0959287712759647,0.167015535165545,0.092846641703196,0.293712487175562,0.271049769728734,0.0794467949509982
328.688,2021,6,14,10,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,14,15,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,14,17,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
